id	y_hat
0	pos
1	pos
2	neg
3	neg
4	neg
5	neg
6	neg
7	pos
8	neg
9	neg
10	pos
11	pos
12	neg
13	neg
14	pos
15	neg
16	pos
17	pos
18	neg
19	neg
20	pos
21	pos
22	pos
23	neg
24	pos
25	neg
26	pos
27	neg
28	pos
29	neg
30	pos
31	pos
32	pos
33	pos
34	pos
35	neg
36	pos
37	pos
38	neg
39	neg
40	neg
41	pos
42	neg
43	pos
44	pos
45	pos
46	pos
47	neg
48	pos
49	neg
50	neg
51	neg
52	pos
53	pos
54	neg
55	pos
56	pos
57	pos
58	neg
59	neg
60	pos
61	pos
62	neg
63	pos
64	neg
65	neg
66	neg
67	pos
68	pos
69	pos
70	pos
71	neg
72	pos
73	pos
74	pos
75	neg
76	pos
77	pos
78	neg
79	pos
80	pos
81	pos
82	pos
83	pos
84	neg
85	neg
86	pos
87	neg
88	neg
89	pos
90	neg
91	pos
92	pos
93	pos
94	neg
95	pos
96	neg
97	neg
98	neg
99	pos
100	neg
101	neg
102	neg
103	neg
104	neg
105	pos
106	pos
107	pos
108	pos
109	neg
110	neg
111	pos
112	neg
113	neg
114	neg
115	neg
116	pos
117	pos
118	neg
119	pos
120	pos
121	neg
122	neg
123	neg
124	neg
125	neg
126	neg
127	pos
128	neg
129	pos
130	pos
131	pos
132	pos
133	pos
134	neg
135	neg
136	neg
137	pos
138	pos
139	pos
140	neg
141	neg
142	pos
143	pos
144	neg
145	pos
146	neg
147	neg
148	pos
149	neg
150	pos
151	pos
152	neg
153	neg
154	neg
155	neg
156	neg
157	neg
158	pos
159	neg
160	neg
161	pos
162	pos
163	neg
164	pos
165	pos
166	pos
167	neg
168	neg
169	neg
170	pos
171	pos
172	pos
173	neg
174	pos
175	pos
176	pos
177	pos
178	pos
179	pos
180	neg
181	pos
182	pos
183	pos
184	neg
185	pos
186	neg
187	pos
188	pos
189	neg
190	neg
191	neg
192	pos
193	neg
194	neg
195	pos
196	neg
197	pos
198	pos
199	neg
200	neg
201	neg
202	pos
203	neg
204	neg
205	pos
206	neg
207	pos
208	pos
209	pos
210	neg
211	pos
212	pos
213	pos
214	neg
215	neg
216	pos
217	neg
218	neg
219	pos
220	pos
221	pos
222	neg
223	neg
224	neg
225	neg
226	neg
227	neg
228	pos
229	neg
230	neg
231	neg
232	pos
233	pos
234	pos
235	pos
236	neg
237	neg
238	neg
239	pos
240	neg
241	pos
242	pos
243	pos
244	pos
245	pos
246	pos
247	neg
248	neg
249	neg
250	pos
251	neg
252	neg
253	pos
254	neg
255	neg
256	pos
257	neg
258	pos
259	neg
260	pos
261	neg
262	neg
263	neg
264	pos
265	pos
266	pos
267	pos
268	pos
269	neg
270	pos
271	neg
272	neg
273	neg
274	pos
275	pos
276	neg
277	neg
